🇨🇳 央视频道,#genre#
CCTV1 综合,http://111.6.175.82:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-1H265_4000.m3u8

CCTV2 财经,http://111.6.175.82:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-2H265_4000.m3u8

CCTV3 综艺,http://111.6.175.82:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-3H265_4000.m3u8

CCTV4 中文国际,http://111.6.175.82:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-4H265_4000.m3u8

CCTV4K 超高清,http://111.6.175.82:2380/hw1live.rxip.sc96655.com.huan.tv/live/ys4Kcq_2000.m3u8

CCTV5 体育,http://111.6.175.82:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-5H265_4000.m3u8

CCTV5+ 体育赛事,http://111.6.175.82:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-5plusH265_4000.m3u8

CCTV6 电影,http://111.6.175.82:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-6H265_4000.m3u8

CCTV7 国防军事,http://111.6.175.82:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-7H265_4000.m3u8

CCTV8 电视剧,http://111.6.175.82:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-8H265_4000.m3u8

CCTV9 纪录,http://111.6.175.82:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-9H265_4000.m3u8

CCTV10 科教,http://111.6.175.82:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-10H265_4000.m3u8

CCTV11 戏曲,http://111.6.175.82:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-11-H265_4000.m3u8

CCTV12 社会与法,http://111.6.175.82:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-12H265_4000.m3u8

CCTV13 新闻,http://111.6.175.82:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-xw_4000.m3u8

CCTV14 少儿,http://111.6.175.82:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-14H265_4000.m3u8

CCTV15 音乐,http://111.6.175.82:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-15-yyH265_4000.m3u8

CCTV16 奥林匹克,http://111.6.175.82:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-16_4000.m3u8

CCTV16(4K) 奥林匹克,http://111.6.175.82:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-16-4K_8000.m3u8

CCTV17 农业农村,http://111.6.175.82:2380/hw1live.rxip.sc96655.com.huan.tv/live/CCTV-17_4000.m3u8

CGTN,https://0472.org/hls/cgtn.m3u8
CGTN,http://english-livetx.cgtn.com/hls/yypdyyctzb_hd.m3u8

CGTN记录,https://0472.org/hls/cgtnd.m3u8
CGTN记录,https://english-livetx.cgtn.com/hls/yypdjlctzb_hd.m3u8

CGTN西语,https://0472.org/hls/cgtnx.m3u8
CGTN西语,http://espanol-liveali.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd.m3u8

CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN法语,http://francais-livews.cgtn.com/hls/LSvev95OuFZtKLc6CeKEFYXj220802LSTeV6PO0Ut9r71Uq3k5goCA220802cd.m3u8

CGTN俄语,https://0472.org/hls/cgtne.m3u8
CGTN俄语,http://russian-livews.cgtn.com/hls/LSvexABhNipibK5KRuUkvHZ7220802LSTeze9o8tdFXMHsb1VosgoT220802cd.m3u8

CGTN阿语,https://0472.org/hls/cgtna.m3u8
CGTN阿语,http://arabic-livews.cgtn.com/hls/LSveq57bErWLinBnxosqjisZ220802LSTefTAS9zc9mpU08y3np9TH220802cd.m3u8


🇨🇳 卫视频道,#genre#

苏州4K,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8
河北4K,https://event.pull.hebtv.com:443/live/live101.m3u8

浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8

翡翠台,https://bxtv.3a.ink/mytv/mytvts1.333.php?id=fct
明珠台,https://bxtv.3a.ink/mytv/mytvts1.333.php?id=mz
中文网,https://bxtv.3a.ink/mytv/mytvts2.333.php?id=fhzw
资讯网,https://bxtv.3a.ink/mytv/mytvts2.333.php?id=fhzx
香港台,https://bxtv.3a.ink/mytv/mytvts2.333.php?id=fhhk
跑马台,https://bxtv.3a.ink/mytv/mytvts2.333.php?id=18
经典台,https://bxtv.3a.ink/mytv/mytvts1.333.php?id=qxjd
POPC,https://bxtv.3a.ink/mytv/mytvts1.333.php?id=popc
TVB Plus,https://bxtv.3a.ink/mytv/mytvts1.333.php?id=tvbp
美亚电影台,https://bxtv.3a.ink/mytv/mytvts2.333.php?id=meiya
中天新闻台,https://bxtv.3a.ink/mytv/mytvts1.333.php?id=ztxw
无线新闻网,https://bxtv.3a.ink/mytv/mytvts1.333.php?id=wxxw

